mngikuti;mengikuti
klkuan;kelakuan
dibikin2;dibikin-bikin
nnt;nanti
kasiannn;kasihan
syekaliii;sekali
hgga;hingga
sholihah;salihah
adeuh;aduh
nantiii;nanti
halahh;alah
luu;lu
yuuks;yuk
yoo;ayo
judulnyaa;judulnya
ape;apa
ayoookkkkkk;ayo
cwek;cewek
namax;namanya
lt;lantai
"nama""";nama-nama
keluarin;mengeluarkan
mbak2;mbak-mbak
komentnya;komentarnya
omongin;mengomongkan
ngalirrrrr;mengalir
nmbah;bertambah
terossss;terus
dosaa;dosa
seindonesiyah;seindonesia
senyumin;senyumi
segala2nya;segala-galanya
ngrusak;merusak
px;punya
kslhn;kesalahan
skrngnya;sekarangnya
kalik;kali
nyambungin;menyambung
nggali;menggali
kurng;kurang
nangiiiiis;menangis
nangiiis;menangis
ortunya;orang tuanya
woey;woy
bloghhh;goblok
nyimak;menyimak
mnjawab;menjawab
woooiiiiiiii;woy
dosaaaaaaaaaa;dosa
karmaaa;karma
woooiiiii;woy
ngkkkkkk;mengakak
makny;maknya
wdooohhh;waduh
kasihn;kasihan
lhirr;lahir
hujatann;hujatan
palgi;apalagi
kakakkk;kakak
stp;setiap
penbelian;pembelian
cuaantik;cantik
sukakkk;suka
m;sama
expresi;ekspresi
natap;menatap
helloo;halo
difotoin;difoto
psangan;pasangan
ngiriii;mengiri
coxok;cocok
buatin;buatkan
statusx;statusnya
cem;macam
yee;ya
sunggu;sungguh
ammiiin;amin
haddeh;aduh
maaasss;mas
segerrrr;segar
kemn;kemana
suipit;sipit
sipiit;sipit
kedengeran;kedengaran
lancr;lancar
keputihn;keputihan
km;kami
"mdh""";mudah-mudah
bz;bisa
amiennn;amien
ammin;amin
mendapatkn;mendapatkan
lucuuuk;lucu
amaattt;amat
namain;menamai
ngerayain;merayakan
yaoloh;yaallah
buatin;membuat
d.bikinin;dibikin
mmz;mas
bikinin;bikin
bapeeeer;bawa perasaan
baperr;bawa perasaan
keliatannya;kelihatannya
siih;sih
duluuu;dulu
hadeehh;aduh
pu;punya
suamiiiii;suami
kebykan;kebanyakan
tingal;tinggal
pernikahn;pernikahan
macem;macam
bagusnyeee;bagusnya
hmpir;hampir
liatnyaaa;lihatnya
waw;wow
mbuh;embuh
waaa;wah
berbiiiiiihhh;barbie
canteek;cantik
teru;terus
nyatok;mencatok
nyampenya;sampainya
goncengin;boncengkan
gebleg;geblek
dianterin;diantarkan
anterin;antar
ngantar;mengantar
nganterin;mengantarkan
ati2;hati-hati
diapa2in;diapa-apai
yeuh;ya
dianterin;diantar
dianter;diantar
disupirin;disopiri
anterin;antarkan
jidad;jidat
jangan2;jangan-jangan
novembr;november
genduut;gendut
bertatto;bertato
brrt;berarti
kana;kanan
doong;dong
sbelah;sebelah
cew;cewek
sblah;sebelah
tengaj;tengah
ps;pas
gmpg;gampang
apal;hapal
rupa2nya;rupa-rupanya
kembaq;kembar
tngh;tengah
mknya;makanya
sdkit;sedikit
prmpuan;perempuan
pcarny;pacarnya
ketuker;tertukar
drimnanya;darimananya
cntikan;cantikan
edaaaan;edan
bazengg;bajingan
haiii;hai
kmana2;kemana-mana
miripp;mirip
sdg;sedang
komentar2;komentar-komentar
kenyataan2;kenyataan-kenyataan
lwt;lewat
sukur2;sukur-sukur
baek2;baik-baik
hati2;hati-hati
nasehatin;menasihati
beda2;beda-beda
dibkatakan;dikatakan
doonk;dong
pengikuy;pengikut
ngmngin;mengomongkan
sblmnya;sebelumnya
maksd;maksud
adkah;adakah
menbelah;membelah
mngira;mengira
bertolernsi;bertoleransi
slahkan;salahkan
tolernsi;toleransi
sbnarnya;sebenarnya
ingi;ingin
oalaaaa;walah
menjelekan;menjelekkan
hadeuuh;aduh
baca2;baca-baca
hrsnya;harusnya
berbeda2;berbeda-beda
adlh;adalah
sebelum2nya;sebelum-sebelumnya
sedihh;sedih
gndakan;gandakan
kangeeeeeeeenya;kangen
ganti'kn;menggantikan
amiiiiiiiiiiiiiiiiin;amin
kgeeeen;kangen
tnang;tenang
mti;mati
bngetttt;banget
bgect;banget
"kebaikan""y";kebaikannya
trima;terima
dssi;disisi
kebayang;terbayang
kangeeeeennn;kangen
aer;air
skalii;sekali
dtinggl;ditinggal
terbaiiikkkkk;terbaik
murahhh;murah
pecahhg;pecah
kakakgh;kakak
terbaeeeek;terbaik
prempuan;perempuan
manteep;mantap
nggeh;engah
indonesiaaa;indonesia
inia;ini
maluu;malu
cobaaaa;coba
cepetan;cepatan
ntapsss;mantap
kamiiii;kami
tw;tau
sdkit2;sedikit-sedikit
penyakitny;penyakitnya
mgkin;mungkin
ngajarin;mengajari
tntg;tentang
pa;apa
qmu;kamu
laenny;lainnya
amiinnn;amin
scpatny;secepatnya
sampein;sampaikan
tuany;tuanya
amiiinnn;amin
doa2;doa-doa
amiiinn;amin
yahhh;ya
adeeek;adek
bca;baca
netes;menetes
mataq;mataku
byangin;membayangkan
trjadi;terjadi
dposisi;diposisi
tanda2nya;tanda-tandanya
dijwb;dijawab
orgtuanya;orang tuanya
tmpt;tempat
tmn2nya;teman-temannya
sayy;sayang
salaam;salam
liad;lihat
dallam;dalam
tentanh;tentang
kejadianny;kejadiannya
main2;main-main
kebanggan;kebanggaan
sayaang;sayang
klg;keluarga
msg2;masing-masing
pgnnya;penginnya
meluk;memeluk
siiihhh;sih
mupeng;muka pengin
caya;percaya
aduhhhhhhhhh;aduh
buseett;buset
mblo;jomblo
gagahx;gagahnya
kaliiii;kali
miriiiip;mirip
niru;meniru
bpknya;bapaknya
bpkmu;bapakmu
sangt;sangat
baang;bang
aqu;aku
ngademin;mengademkan
aahh;ah
kakkk;kak
ayuk;ayo
keluarin;keluarkan
yokk;yuk
ono;sono
weeeh;wih
bagiin;membagikan
suksea;sukses
dekt;dekat
genggg;geng
yawloh;ya allah
bhnya;bahannya
cucokkk;cocok
samaaaa;sama
abanggku;abangku
dsni;disini
ciieeeeeee;cie
kokohh;engkoh
cieeeee;cie
takuttt;takut
yuks;yuk
pnjual;penjual
latian;latihan
aaaaaaakkk;ah
soga;moga
sintron;sinetron
ancurrr;hancur
iaa;iya
